movie,week,count
Superman,2025-06-30/2025-07-06,19
Superman,2025-07-07/2025-07-13,73
Superman,2025-07-14/2025-07-20,74
Superman,2025-07-21/2025-07-27,64
Superman,2025-07-28/2025-08-03,55
Superman,2025-08-04/2025-08-10,41
Superman,2025-08-11/2025-08-17,27
Superman,2025-08-18/2025-08-24,21
Superman,2025-08-25/2025-08-31,17
Jurassic World,2025-06-30/2025-07-06,41
Jurassic World,2025-07-07/2025-07-13,42
Jurassic World,2025-07-14/2025-07-20,37
Jurassic World,2025-07-21/2025-07-27,32
Jurassic World,2025-07-28/2025-08-03,28
Jurassic World,2025-08-04/2025-08-10,17
Jurassic World,2025-08-11/2025-08-17,7
Jurassic World,2025-08-18/2025-08-24,7
Jurassic World,2025-08-25/2025-08-31,2
Fantastic Four,2025-06-30/2025-07-06,11
Fantastic Four,2025-07-07/2025-07-13,12
Fantastic Four,2025-07-14/2025-07-20,25
Fantastic Four,2025-07-21/2025-07-27,68
Fantastic Four,2025-07-28/2025-08-03,64
Fantastic Four,2025-08-04/2025-08-10,39
Fantastic Four,2025-08-11/2025-08-17,23
Fantastic Four,2025-08-18/2025-08-24,13
Fantastic Four,2025-08-25/2025-08-31,10
Smurfs,2025-06-30/2025-07-06,3
Smurfs,2025-07-07/2025-07-13,3
Smurfs,2025-07-14/2025-07-20,13
Smurfs,2025-07-21/2025-07-27,7
Smurfs,2025-07-28/2025-08-03,8
Smurfs,2025-08-04/2025-08-10,4
