topic_id,topic_name,rank,word,tfidf_score,post_count
1a,Box Office - Superman,1,superman,0.08959013879930083,157
1a,Box Office - Superman,2,weekend,0.04835912184666057,157
1a,Box Office - Superman,3,week,0.04347020733843492,157
1a,Box Office - Superman,4,movie,0.04223915347274986,157
1a,Box Office - Superman,5,box,0.04115977961461934,157
1a,Box Office - Superman,6,box office,0.04111956717550895,157
1a,Box Office - Superman,7,office,0.040830717660292136,157
1a,Box Office - Superman,8,estimated,0.03923405782136367,157
1a,Box Office - Superman,9,f1,0.03234793159155981,157
1a,Box Office - Superman,10,total,0.03185839936295492,157
1b,Box Office - Fantastic Four,1,fantastic,0.10949908798115784,147
1b,Box Office - Fantastic Four,2,steps,0.08860504149779093,147
1b,Box Office - Fantastic Four,3,fantastic steps,0.08702675306140045,147
1b,Box Office - Fantastic Four,4,disney,0.055101525909585045,147
1b,Box Office - Fantastic Four,5,disney fantastic,0.05428665466507835,147
1b,Box Office - Fantastic Four,6,weekend,0.05292633569488138,147
1b,Box Office - Fantastic Four,7,box office,0.05206672482318505,147
1b,Box Office - Fantastic Four,8,box,0.05194416050367418,147
1b,Box Office - Fantastic Four,9,office,0.051700975637161,147
1b,Box Office - Fantastic Four,10,total,0.049516352736887946,147
1c,Box Office - Jurassic World and Other Movies,1,jurassic world,0.07845318996505417,98
1c,Box Office - Jurassic World and Other Movies,2,jurassic,0.0784280453117576,98
1c,Box Office - Jurassic World and Other Movies,3,rebirth,0.07842684906044445,98
1c,Box Office - Jurassic World and Other Movies,4,world rebirth,0.07440764109990536,98
1c,Box Office - Jurassic World and Other Movies,5,world,0.07340729742358418,98
1c,Box Office - Jurassic World and Other Movies,6,universal jurassic,0.0582424153848397,98
1c,Box Office - Jurassic World and Other Movies,7,total,0.05687568099275129,98
1c,Box Office - Jurassic World and Other Movies,8,universal,0.05561677268924166,98
1c,Box Office - Jurassic World and Other Movies,9,estimated,0.05519356520110118,98
1c,Box Office - Jurassic World and Other Movies,10,domestic,0.053579593459407916,98
2,Audience Reception and Scores,1,audience,0.07074015860086058,38
2,Audience Reception and Scores,2,superman,0.061841655452984166,38
2,Audience Reception and Scores,3,movie,0.05991745062601404,38
2,Audience Reception and Scores,4,gets cinemascore,0.0583611221449919,38
2,Audience Reception and Scores,5,cinemascore,0.05051026133125192,38
2,Audience Reception and Scores,6,score,0.04810049325693886,38
2,Audience Reception and Scores,7,gets,0.044165554976025846,38
2,Audience Reception and Scores,8,gunn,0.039502960617940314,38
2,Audience Reception and Scores,9,fantastic,0.03194511868137394,38
2,Audience Reception and Scores,10,james,0.03187378775515274,38
3,"Marketing, Franchise Strategy and Distribution",1,gunn,0.1197676066393011,67
3,"Marketing, Franchise Strategy and Distribution",2,james gunn,0.10740588120833242,67
3,"Marketing, Franchise Strategy and Distribution",3,james,0.10634100099413768,67
3,"Marketing, Franchise Strategy and Distribution",4,superman,0.07937864074276761,67
3,"Marketing, Franchise Strategy and Distribution",5,new,0.06567268249801733,67
3,"Marketing, Franchise Strategy and Distribution",6,says,0.05079709654662569,67
3,"Marketing, Franchise Strategy and Distribution",7,movie,0.04331229823534936,67
3,"Marketing, Franchise Strategy and Distribution",8,gunn says,0.03592448326162339,67
3,"Marketing, Franchise Strategy and Distribution",9,dcu,0.03475104280136768,67
3,"Marketing, Franchise Strategy and Distribution",10,dc,0.031473993001842206,67
4,"Film Quality, Creative Content and Characters",1,superman,0.09365486752186866,36
4,"Film Quality, Creative Content and Characters",2,new,0.07441111891491627,36
4,"Film Quality, Creative Content and Characters",3,movie,0.06636108675078498,36
4,"Film Quality, Creative Content and Characters",4,new superman,0.05141060090437269,36
4,"Film Quality, Creative Content and Characters",5,film,0.03971429647642901,36
4,"Film Quality, Creative Content and Characters",6,like,0.03389718322787465,36
4,"Film Quality, Creative Content and Characters",7,just,0.03297896871803379,36
4,"Film Quality, Creative Content and Characters",8,don,0.031196196551231927,36
4,"Film Quality, Creative Content and Characters",9,scene,0.03035466309477635,36
4,"Film Quality, Creative Content and Characters",10,movies,0.02999806397024468,36
5,"Fandom, Rankings and Community Meta Discussion",1,gunn,0.11323057925180749,59
5,"Fandom, Rankings and Community Meta Discussion",2,james gunn,0.11091354951264355,59
5,"Fandom, Rankings and Community Meta Discussion",3,james,0.10917951880067722,59
5,"Fandom, Rankings and Community Meta Discussion",4,superman,0.04929968810712126,59
5,"Fandom, Rankings and Community Meta Discussion",5,fantastic,0.034792830074470246,59
5,"Fandom, Rankings and Community Meta Discussion",6,dcu,0.02975553971354852,59
5,"Fandom, Rankings and Community Meta Discussion",7,movie,0.026626941694649606,59
5,"Fandom, Rankings and Community Meta Discussion",8,says,0.026450351620680868,59
5,"Fandom, Rankings and Community Meta Discussion",9,script,0.02594785929916213,59
5,"Fandom, Rankings and Community Meta Discussion",10,gunn says,0.025017080448799432,59
6,General News and Other,1,jurassic,0.07783692016824963,54
6,General News and Other,2,jurassic world,0.07668605186989277,54
6,General News and Other,3,1m,0.07222164368200742,54
6,General News and Other,4,world,0.07109384489583223,54
6,General News and Other,5,rebirth,0.06799939736690679,54
6,General News and Other,6,world rebirth,0.06669351233101403,54
6,General News and Other,7,day,0.06141682805984577,54
6,General News and Other,8,1m club,0.05870728743915424,54
6,General News and Other,9,club,0.056047221026024864,54
6,General News and Other,10,5m,0.05312444963574462,54
